count_point_id,latitude,longitude,all_motor_vehicles,cluster
71000,51.5253607,0.146601237,3380.0104166666665,0
73141,51.53582098,-0.286932852,2973.983870967742,0
73822,51.51473793,0.004998555,3483.5253623188405,0
74528,51.53828481,-0.025979478,3342.6686390532545,0
74530,51.54791166,-0.030005151,3437.785714285714,0
74531,51.48869003,0.013649266,3201.4657534246576,0
74532,51.48353683,0.020464962,3294.394557823129,0
74534,51.5200949,-0.193513384,2984.925925925926,0
74535,51.51742804,-0.211376342,2804.1428571428573,0
74540,51.50899971,-0.21891201,3076.8571428571427,0
74691,51.5609061,-0.256125673,3023.8571428571427,0
74923,51.55317262,-0.448267861,2787.0,0
75072,51.48714648,-0.316269613,3158.837837837838,0
75400,51.51039833,-0.090596542,3138.0,0
76054,51.52556361,-0.136670348,2869.3333333333335,0
78347,51.55630597,-0.460855305,3485.2369337979094,0
78379,51.57487163,0.272905849,3350.0,6
79993,51.58456497,-0.067280982,2770.6,-1
79994,51.58887835,-0.06709801,2898.8,-1
88038,51.56654876,-0.246746986,3566.5243243243244,0
88042,51.57021255,-0.234989625,2800.5373134328356,0
88048,51.57470497,-0.221033723,3461.9057971014495,0
90220,51.43414008,-0.390153272,2769.5,1
90269,51.55823258,-0.003764513,3398.3125,0
92015,51.42670288,-0.405230488,2884.285714285714,1
92016,51.55630597,-0.460855305,3462.953125,0
92178,51.49746923,0.001963445,2913.076923076923,0
92182,51.48908449,0.012672756,3001.5333333333333,0
96012,51.51688159,0.016335191,3072.4375,0
99753,51.53125,-0.389614088,3341.3333333333335,0
99901,51.38226632,-0.277295452,3715.3010380622836,2
99902,51.53235654,0.117948139,3456.821917808219,0
99903,51.51424052,0.179084993,3450.563157894737,0
